ClienteID,Edad,Genero,Pais,Suscripcion_Meses,Plan,Horas_Semanales_Uso,Satisfaccion,Soporte_Contactos,Promocion_Usada,GastoMensual,Cancela
1,31.0,Femenino,Chile,32,Básico,11.2,5,6,No,8.26,0
2,42.0,Masculino,Perú,7,Estándar,15.8,3,3,No,21.51,0
3,54.0,Masculino,Chile,25,Estándar,12.0,3,6,No,19.02,0
4,14.0,Masculino,México,12,Básico,14.0,2,3,No,5.6,1
5,42.0,Masculino,México,23,Básico,15.1,,3,No,16.91,0
6,40.0,,Chile,46,Básico,6.6,4,4,No,6.78,1
7,43.0,,España,53,Estándar,9.8,4,0,No,14.58,0
8,44.0,Femenino,México,21,Estándar,14.9,2,1,No,22.78,0
9,43.0,Femenino,España,38,Estándar,5.8,4,2,No,13.95,0
10,26.0,Femenino,España,14,Premium,3.3,5,3,No,31.51,0
11,34.0,Femenino,Chile,49,Premium,9.4,1,3,No,35.13,0
12,29.0,Femenino,Perú,29,Premium,8.1,3,3,No,37.4,0
13,21.0,Otro,Argentina,39,Básico,6.9,4,2,Sí,19.8,1
14,42.0,Femenino,Chile,6,Básico,12.9,3,5,Sí,4.13,1
15,45.0,,Argentina,42,Estándar,10.1,1,2,Sí,27.69,0
16,24.0,Masculino,Chile,50,Estándar,15.0,,3,No,21.16,0
17,39.0,,España,38,Básico,20.9,3,0,No,15.49,0
18,39.0,Masculino,Chile,26,Básico,13.1,2,3,No,13.09,0
19,56.0,Femenino,México,19,Básico,9.6,3,2,No,11.73,0
20,33.0,Femenino,España,18,Estándar,9.6,4,2,No,24.47,0
21,33.0,,Chile,43,Básico,4.7,2,1,Sí,12.27,0
22,52.0,Masculino,Chile,57,Premium,8.7,4,2,No,28.92,0
23,32.0,Masculino,Chile,26,Estándar,10.4,4,3,No,18.1,0
24,48.0,Femenino,España,19,Estándar,10.7,1,3,No,19.8,0
25,38.0,Masculino,España,47,Básico,12.7,4,0,No,9.86,1
26,26.0,Masculino,México,51,Estándar,8.6,5,3,No,19.13,0
27,56.0,Femenino,España,22,Básico,12.2,4,2,No,8.81,0
28,32.0,Masculino,México,39,Básico,11.2,1,3,Sí,7.35,0
29,37.0,Masculino,México,58,Estándar,10.9,1,3,No,19.96,0
30,29.0,Femenino,Argentina,47,Estándar,9.0,4,2,No,17.78,0
31,51.0,Femenino,España,56,Premium,12.3,1,2,Sí,25.51,0
32,34.0,Masculino,Perú,44,Básico,12.4,3,2,No,9.7,0
33,17.0,Masculino,Chile,31,Básico,7.1,3,0,No,17.3,1
34,27.0,Femenino,Perú,40,Estándar,11.2,1,0,No,14.69,0
35,43.0,Femenino,España,1,Básico,11.1,3,0,No,8.14,0
36,35.0,Femenino,Argentina,2,Básico,11.1,5,1,Sí,13.01,1
37,41.0,Masculino,Chile,48,Premium,13.6,3,0,Sí,32.79,0
38,31.0,Masculino,Argentina,9,Premium,6.8,2,1,No,32.6,0
39,30.0,Masculino,España,58,Básico,11.5,2,0,Sí,10.93,1
40,39.0,Masculino,México,30,Estándar,12.1,2,2,No,26.52,0
41,41.0,Femenino,España,40,Premium,5.0,,3,No,30.5,0
42,18.0,,Chile,22,Estándar,3.3,3,0,No,16.46,0
43,49.0,Masculino,Chile,8,Básico,12.9,3,2,No,14.15,0
44,22.0,Femenino,Argentina,9,Estándar,10.5,4,2,No,18.96,0
45,32.0,Masculino,México,11,Estándar,17.2,2,5,No,25.28,0
46,25.0,Masculino,Perú,23,Estándar,14.4,4,3,No,19.66,0
47,23.0,,Perú,32,Premium,17.9,4,5,Sí,32.63,0
48,62.0,Femenino,Argentina,42,Estándar,6.2,,2,No,20.34,0
49,10.0,Femenino,Perú,42,Básico,9.2,4,2,No,10.17,0
50,36.0,Masculino,México,53,Básico,15.9,2,1,No,11.42,0
51,31.0,Masculino,México,40,Estándar,9.4,3,1,Sí,17.09,0
52,24.0,Masculino,España,57,Estándar,9.9,3,2,No,19.27,0
53,12.0,Masculino,México,25,Premium,12.0,3,0,No,25.78,0
54,36.0,Femenino,Perú,2,Premium,8.6,1,2,No,29.69,0
55,42.0,Masculino,España,45,Premium,11.2,4,1,Sí,21.2,0
56,43.0,Masculino,México,19,Básico,9.1,,1,No,13.81,0
57,19.0,Femenino,España,23,Premium,5.2,3,3,No,37.1,0
58,30.0,Masculino,Argentina,12,Premium,4.4,4,3,No,28.16,0
59,61.0,Masculino,España,50,Básico,17.2,4,1,No,5.63,0
60,18.0,Masculino,España,34,Básico,2.7,1,3,No,7.94,0
61,30.0,Femenino,España,20,Premium,-2.9,3,1,Sí,27.75,0
62,47.0,Femenino,México,48,Estándar,-0.3,3,3,No,21.83,0
63,35.0,Femenino,Perú,59,Estándar,11.0,1,4,Sí,18.24,0
64,45.0,Masculino,España,32,Estándar,12.1,4,4,No,18.61,0
65,37.0,Femenino,Perú,45,Premium,13.9,3,2,No,30.3,0
66,34.0,Femenino,México,26,Básico,9.1,2,1,No,5.16,1
67,25.0,Masculino,Argentina,11,Básico,4.4,3,1,No,9.37,0
68,32.0,Femenino,Perú,2,Estándar,0.9,4,2,No,18.79,0
